area name,location,rating,month
용머리 해안,서귀포 안덕면 사계리 181-1,4.5,"3,4,8"
함덕 서우봉 해변,제주 조천읍 함덕리,4.5,8
협재 해수욕장,제주 한림읍 협재리 2497-1,4.5,8
월정리해변,제주 구좌읍 월정리 33-3,4.5,"5,7,8"
중문 색달 해변,서귀포 산록남로,4.0,6
금능해수욕장,제주 한림읍 금능길 119-10,4.5,"7,8"
김녕 성세기 해변,제주 구좌읍 해맞이해안로,4.5,8
광치기 해변,서귀포 성산읍 고성리 224-33,4.5,8
세화 해수욕장,제주 구좌읍,4.5,8
광치기 해변,서귀포 성산읍 고성리 224-33,4.5,8
이호테우해변,제주 도리로 20,4.0,11
표선해비치해변,서귀포 Pyoseon-myeon,4.0,"7,8"
곽지해수욕장,제주 애월읍 곽지리 1565,4.5,8
소금막해변,,3.0,1
삼양 검은모래 해변,제주,3.5,8
산호해수욕장,제주 우도면 연평리 Seobin Baeksa Beach,5.0,"3,8"
한라산 국립공원,서귀포 상효동 산220-1,4.5,10
성산 일출봉,서귀포 성산읍 성산리 104,4.5,10
송악산,서귀포 대정읍 송악관광로 421-1,4.5,11
산방산,서귀포 안덕면,4.0,3
새별오름,제주 애월읍 봉성리 산59-8,4.5,11
따라비 오름,,5.0,11
민오름 -  오라동,제주 오라2동 산12,5.0,9
궷물오름,,5.0,4
생각하는 정원,제주 한경면 녹차분재로 675,4.5,10
비자림,제주 구좌읍 비자숲길,4.5,11
제주 절물 자연 휴양림,제주 봉개동,4.5,4
한림공원,제주 한림읍 한림로 300,4.0,6
제주 돌문화 공원,제주 조천읍 교래리 산119,4.0,11
제주 4.3 평화공원,제주 명림로 430,4.5,2
제주 여미지 식물원,서귀포 색달동 2920,4.0,"7,8,10"
우도등대공원,제주 우도면 우도봉길 105,4.5,3
한라 수목원,제주 연동 1000,4.0,11
군산오름,,4.5,"1,4,10"
조랑말 체험공원,서귀포 표선면 녹산로 381-15,4.5,4
한담공원,,4.5,10
휴애리 자연 생활 공원,서귀포 남원읍 신례동로 256,4.0,12
사라봉공원,,4.0,"5,7"
돌하르방 공원,제주 조천읍 북촌리 976,4.0,"1,3,4,5,8,10"
일출 랜드,서귀포 성산읍 삼달리 1010,3.5,11
서복 공원,서귀포,4.0,10
제주 허브 동산,서귀포 표선면 표선리 2608,4.0,10
걸매생태공원,,4.5,"4,10"
렛츠런팜 제주,,4.5,"1,6,9"
칠십리 시 공원,,4.0,3
삼무공원,,4.0,9
렛츠런파크제주,,5.0,7
