,location,rating,number_of_reviews,date,trip type
0,제주 애월읍 곽지리 1565,4.5,31건,2019년 8월,가족과 여행함
1,,,,2019년 11월,가족과 여행함
2,,,,2019년 8월,가족과 여행함
3,,,,2018년 9월,친구와 여행함
4,,,,2018년 8월,친구와 여행함
5,,,,2018년 8월,친구와 여행함
6,,,,2017년 11월,친구와 여행함
7,,,,2018년 7월,나 혼자 여행함
8,,,,2017년 6월,나 혼자 여행함
9,,,,2017년 8월,친구와 여행함
10,,,,2017년 7월,친구와 여행함
11,,,,2017년 11월,가족과 여행함
12,,,,2017년 5월,나 혼자 여행함
13,,,,2017년 8월,나 혼자 여행함
14,,,,2016년 8월,커플로 여행함
15,,,,2016년 8월,가족과 여행함
16,,,,2016년 11월,나 혼자 여행함
17,,,,2016년 8월,커플로 여행함
18,,,,2016년 6월,커플로 여행함
19,,,,2015년 9월,가족과 여행함
20,,,,2016년 4월,친구와 여행함
21,,,,2015년 9월,가족과 여행함
22,,,,2015년 4월,커플로 여행함
23,,,,2016년 1월,
24,,,,2018년 7월,
25,,,,2016년 11월,
26,,,,2016년 3월,
