,location,rating,number_of_reviews,date,trip type
0,제주 구좌읍 해맞이해안로,4.5,59건,2020년 1월,친구와 여행함
1,,,,2019년 10월,가족과 여행함
2,,,,2019년 4월,커플로 여행함
3,,,,2018년 6월,커플로 여행함
4,,,,2018년 12월,커플로 여행함
5,,,,2018년 3월,커플로 여행함
6,,,,2017년 5월,친구와 여행함
7,,,,2017년 12월,친구와 여행함
8,,,,2017년 4월,친구와 여행함
9,,,,2017년 6월,친구와 여행함
10,,,,2017년 8월,커플로 여행함
11,,,,2017년 9월,나 혼자 여행함
12,,,,2017년 11월,친구와 여행함
13,,,,2017년 9월,가족과 여행함
14,,,,2017년 6월,나 혼자 여행함
15,,,,2017년 3월,나 혼자 여행함
16,,,,2017년 1월,가족과 여행함
17,,,,2017년 1월,친구와 여행함
18,,,,2016년 8월,친구와 여행함
19,,,,2016년 2월,나 혼자 여행함
20,,,,2016년 9월,친구와 여행함
21,,,,2016년 4월,가족과 여행함
22,,,,2016년 8월,가족과 여행함
23,,,,2016년 8월,친구와 여행함
24,,,,2016년 8월,친구와 여행함
25,,,,2016년 8월,가족과 여행함
26,,,,2015년 8월,친구와 여행함
27,,,,2016년 4월,가족과 여행함
28,,,,2016년 7월,가족과 여행함
29,,,,2016년 7월,친구와 여행함
30,,,,2016년 7월,나 혼자 여행함
31,,,,2015년 8월,커플로 여행함
32,,,,2016년 6월,커플로 여행함
33,,,,2016년 1월,커플로 여행함
34,,,,2016년 6월,커플로 여행함
35,,,,2016년 6월,가족과 여행함
36,,,,2016년 4월,나 혼자 여행함
37,,,,2016년 4월,가족과 여행함
38,,,,2016년 5월,나 혼자 여행함
39,,,,2016년 4월,친구와 여행함
40,,,,2015년 10월,커플로 여행함
41,,,,2016년 3월,친구와 여행함
42,,,,2015년 9월,친구와 여행함
43,,,,2016년 1월,커플로 여행함
44,,,,2015년 6월,
45,,,,2018년 5월,
46,,,,2018년 5월,
