,location,rating,number_of_reviews,date,trip type
0,제주,3.5,34건,2018년 3월,커플로 여행함
1,,,,2017년 11월,가족과 여행함
2,,,,2017년 10월,친구와 여행함
3,,,,2017년 7월,가족과 여행함
4,,,,2016년 10월,나 혼자 여행함
5,,,,2017년 3월,가족과 여행함
6,,,,2016년 9월,커플로 여행함
7,,,,2016년 8월,커플로 여행함
8,,,,2016년 6월,나 혼자 여행함
9,,,,2015년 9월,출장 목적으로 여행함
10,,,,2015년 8월,나 혼자 여행함
11,,,,2015년 8월,가족과 여행함
12,,,,2015년 5월,커플로 여행함
13,,,,2014년 7월,나 혼자 여행함
14,,,,2019년 4월,커플로 여행함
15,,,,2018년 7월,친구와 여행함
16,,,,2018년 2월,가족과 여행함
17,,,,2016년 9월,나 혼자 여행함
18,,,,2015년 11월,나 혼자 여행함
19,,,,2015년 10월,
20,,,,2015년 8월,
