,location,rating,number_of_reviews,date,trip type
0,서귀포 산록남로,4.0,169건,2020년 2월,출장 목적으로 여행함
1,,,,2019년 7월,커플로 여행함
2,,,,2019년 11월,가족과 여행함
3,,,,2019년 8월,가족과 여행함
4,,,,2019년 6월,출장 목적으로 여행함
5,,,,2019년 3월,친구와 여행함
6,,,,2019년 4월,커플로 여행함
7,,,,2019년 3월,가족과 여행함
8,,,,2018년 4월,나 혼자 여행함
9,,,,2018년 10월,가족과 여행함
10,,,,2018년 8월,가족과 여행함
11,,,,2018년 6월,커플로 여행함
12,,,,2018년 6월,커플로 여행함
13,,,,2018년 6월,가족과 여행함
14,,,,2017년 11월,가족과 여행함
15,,,,2017년 8월,나 혼자 여행함
16,,,,2016년 11월,친구와 여행함
17,,,,2017년 9월,친구와 여행함
18,,,,2017년 6월,가족과 여행함
19,,,,2016년 10월,가족과 여행함
20,,,,2017년 7월,가족과 여행함
21,,,,2017년 5월,커플로 여행함
22,,,,2017년 3월,가족과 여행함
23,,,,2017년 1월,가족과 여행함
24,,,,2017년 2월,가족과 여행함
25,,,,2016년 5월,가족과 여행함
26,,,,2016년 3월,가족과 여행함
27,,,,2016년 8월,나 혼자 여행함
28,,,,2016년 8월,가족과 여행함
29,,,,2016년 8월,커플로 여행함
30,,,,2015년 8월,커플로 여행함
31,,,,2016년 7월,가족과 여행함
32,,,,2016년 7월,가족과 여행함
33,,,,2016년 7월,가족과 여행함
34,,,,2016년 6월,가족과 여행함
35,,,,2016년 3월,가족과 여행함
36,,,,2016년 2월,가족과 여행함
37,,,,2016년 5월,나 혼자 여행함
38,,,,2016년 3월,커플로 여행함
39,,,,2016년 3월,친구와 여행함
40,,,,2016년 2월,커플로 여행함
41,,,,2016년 3월,친구와 여행함
42,,,,2016년 3월,나 혼자 여행함
43,,,,2015년 6월,가족과 여행함
44,,,,2015년 9월,가족과 여행함
45,,,,2015년 9월,가족과 여행함
46,,,,2016년 1월,커플로 여행함
47,,,,2015년 3월,친구와 여행함
48,,,,2016년 1월,커플로 여행함
49,,,,2015년 11월,가족과 여행함
50,,,,2015년 11월,가족과 여행함
51,,,,2015년 12월,커플로 여행함
52,,,,2015년 9월,가족과 여행함
53,,,,2015년 11월,가족과 여행함
54,,,,2015년 6월,친구와 여행함
55,,,,2015년 11월,친구와 여행함
56,,,,2015년 9월,친구와 여행함
57,,,,2015년 2월,가족과 여행함
58,,,,2015년 6월,나 혼자 여행함
59,,,,2015년 9월,가족과 여행함
60,,,,2015년 8월,가족과 여행함
61,,,,2015년 6월,가족과 여행함
62,,,,2015년 8월,가족과 여행함
63,,,,2015년 5월,커플로 여행함
64,,,,2015년 5월,커플로 여행함
65,,,,2014년 12월,가족과 여행함
66,,,,2015년 7월,친구와 여행함
67,,,,2015년 7월,커플로 여행함
68,,,,2015년 3월,가족과 여행함
69,,,,2015년 6월,커플로 여행함
70,,,,2015년 7월,친구와 여행함
71,,,,2015년 7월,나 혼자 여행함
72,,,,2015년 7월,커플로 여행함
73,,,,2015년 6월,가족과 여행함
74,,,,2019년 9월,가족과 여행함
75,,,,2019년 9월,커플로 여행함
76,,,,2019년 8월,친구와 여행함
77,,,,2018년 3월,가족과 여행함
78,,,,2018년 10월,나 혼자 여행함
79,,,,2018년 6월,나 혼자 여행함
80,,,,2017년 7월,가족과 여행함
81,,,,2016년 8월,가족과 여행함
82,,,,2017년 6월,친구와 여행함
83,,,,2017년 6월,커플로 여행함
84,,,,2017년 5월,커플로 여행함
85,,,,2017년 3월,가족과 여행함
86,,,,2016년 10월,커플로 여행함
87,,,,2016년 9월,
88,,,,2016년 8월,
89,,,,2016년 7월,
90,,,,2016년 6월,
91,,,,2016년 4월,
92,,,,2016년 2월,
93,,,,2014년 11월,
94,,,,2015년 8월,
95,,,,2015년 8월,
96,,,,2015년 7월,
