,hotel,price,score,review_number
0,메리어트관 제주신화월드 호텔 앤 리조트,"₩198,990",5,582
1,랜딩관 제주신화월드 호텔 앤 리조트,"₩88,795",4.5,703
2,베스트 웨스턴 제주 호텔,"₩63,501",4.5,383
3,호텔휘슬락,"₩57,490",4.5,284
4,라마다 프라자 제주,"₩128,470",4,775
5,롯데 호텔 제주,"₩508,200",4.5,991
6,서머셋 제주신화월드,"₩239,360",5,820
7,라마다제주시티홀,"₩55,866",4.5,238
8,데이즈 호텔 제주 서귀포 오션,"₩40,500",4.5,274
9,메종 글래드 제주,"₩114,326",4,582
10,신라스테이 제주,"₩118,800",4.5,357
11,해비치 호텔 & 리조트 제주,"₩323,850",4.5,331
12,아트스테이 서귀포 하버,"₩47,740",4,115
13,코업시티호텔 성산,"₩53,000",4,54
14,롯데시티호텔 제주,"₩123,750",4.5,415
15,호텔 레오,"₩58,964",4.5,221
16,스위트 호텔 제주,"₩133,482",4.5,567
17,오션 스위츠 제주 호텔,"₩68,785",4,339
18,히든 클리프 호텔 & 네이쳐,"₩245,217",4,102
19,제주 오션 팰리스 호텔,"₩51,449",4,326
20,하이 레지던스,"₩62,515",5,32
21,WE호텔 제주,"₩154,788",4.5,243
22,아이진 호텔,"₩41,281",4,88
23,브라운스위트제주 호텔 & 리조트,"₩56,694",3.5,25
24,토스카나 호텔,"₩222,178",4.5,54
25,제주 봄 스테이,"₩127,500",4.5,53
26,호텔 리젠트마린 제주,"₩71,000",4,115
27,제주에코스위츠,"₩138,510",5,257
28,제주신라호텔,"₩726,000",4.5,750
29,아스타 호텔,"₩67,660",4,106
30,더 퍼스트 70,"₩38,754",4.5,21
31,호텔 케니스토리 제주,"₩41,666",4,98
32,라마다제주함덕호텔,"₩60,000",3.5,65
33,베이힐 풀앤빌라,"₩340,932",4.5,71
34,갤러리 호텔 비,"₩72,859",5,24
35,호텔아길라,"₩158,821",3.5,17
36,스타즈 호텔 제주 로베로,"₩38,423",3.5,128
37,탐라 스테이 호텔 제주,"₩88,000",4,33
38,다인오세아노호텔,"₩378,352",3,12
39,제주오리엔탈호텔 앤 카지노,"₩51,627",3.5,143
40,케니스토리 인 - 서귀포,"₩44,842",4,12
41,라마다 앙코르 제주 서귀포,"₩47,947",4,137
42,심스호텔,"₩38,600",5,22
43,신화관 제주신화월드 호텔 앤 리조트,"₩209,440",4.5,675
44,서귀포 칼 호텔,"₩78,361",3.5,147
45,베드라디오 - 동문점,"₩52,465",5,9
46,파크선샤인 제주,"₩88,621",4.5,95
47,그라벨호텔,"₩101,963",4,63
48,썬 앤 문 리조트,"₩196,735",5,27
49,제주 아이브 리조트,"₩43,889",5,11
50,디셈버 호텔 제주,"₩50,000",4.5,276
51,제주 칼 호텔,"₩64,554",3.5,180
52,베니키아 중문 호텔,"₩64,364",4.5,318
53,슬로 시티 게스트하우스,"₩24,919",4.5,51
54,티아일랜드,"₩103,999",4.5,104
55,Y 리조트 제주,"₩142,407",4.5,23
56,더포그레이스 호텔앤리조트,"₩60,084",3.5,17
57,엠스테이 호텔 제주,"₩52,747",4,98
58,유탑유블레스호텔제주,"₩110,000",4,19
59,휘닉스 제주,"₩227,910",4,93
60,플레이스,"₩39,002",4,39
61,제주 부영호텔&리조트,"₩87,196",4,76
62,유어스호텔,"₩44,998",4,11
63,더베스트 제주 성산호텔,"₩50,738",3.5,91
64,디 아일랜드 블루 호텔,"₩60,667",4,83
65,유니 호텔 제주,"₩100,630",4,31
66,호텔 앨리스 앤 트렁크,"₩75,736",4.5,5
67,골든튤립제주성산호텔,"₩61,763",4,21
68,제주 R 호텔 & 게스트하우스,"₩35,082",4,52
69,호텔 시리우스 제주,"₩72,556",4.5,27
70,켄싱턴 리조트 서귀포,"₩61,101",3,32
71,미도호스텔,"₩53,673",5,93
72,엠버호텔 센트럴,"₩55,080",4.5,81
73,라마다 앙코르 이스트,"₩47,614",4,105
74,호텔 휴식 서귀포,"₩52,078",4,21
75,올레 리조트 & 스파,"₩179,799",4.5,13
