area name,location,rating,month,cluster
용머리 해안,서귀포 안덕면 사계리 181-1,4.5,"3,4,8",1
함덕 서우봉 해변,제주 조천읍 함덕리,4.5,8,2
협재 해수욕장,제주 한림읍 협재리 2497-1,4.5,8,2
월정리해변,제주 구좌읍 월정리 33-3,4.5,"5,7,8",2
중문 색달 해변,서귀포 산록남로,4.0,6,2
금능해수욕장,제주 한림읍 금능길 119-10,4.5,"7,8",0
김녕 성세기 해변,제주 구좌읍 해맞이해안로,4.5,8,2
광치기 해변,서귀포 성산읍 고성리 224-33,4.5,8,2
세화 해수욕장,제주 구좌읍,4.5,8,2
광치기 해변,서귀포 성산읍 고성리 224-33,4.5,8,2
이호테우해변,제주 도리로 20,4.0,11,1
표선해비치해변,서귀포 Pyoseon-myeon,4.0,"7,8",0
곽지해수욕장,제주 애월읍 곽지리 1565,4.5,8,2
소금막해변,,3.0,1,1
삼양 검은모래 해변,제주,3.5,8,2
산호해수욕장,제주 우도면 연평리 Seobin Baeksa Beach,5.0,"3,8",1
한라산 국립공원,서귀포 상효동 산220-1,4.5,10,0
성산 일출봉,서귀포 성산읍 성산리 104,4.5,10,0
송악산,서귀포 대정읍 송악관광로 421-1,4.5,11,1
산방산,서귀포 안덕면,4.0,3,1
새별오름,제주 애월읍 봉성리 산59-8,4.5,11,1
따라비 오름,,5.0,11,1
민오름 -  오라동,제주 오라2동 산12,5.0,9,0
궷물오름,,5.0,4,1
생각하는 정원,제주 한경면 녹차분재로 675,4.5,10,0
비자림,제주 구좌읍 비자숲길,4.5,11,1
제주 절물 자연 휴양림,제주 봉개동,4.5,4,1
한림공원,제주 한림읍 한림로 300,4.0,6,2
제주 돌문화 공원,제주 조천읍 교래리 산119,4.0,11,1
제주 4.3 평화공원,제주 명림로 430,4.5,2,1
제주 여미지 식물원,서귀포 색달동 2920,4.0,"7,8,10",0
우도등대공원,제주 우도면 우도봉길 105,4.5,3,1
한라 수목원,제주 연동 1000,4.0,11,1
군산오름,,4.5,"1,4,10",1
조랑말 체험공원,서귀포 표선면 녹산로 381-15,4.5,4,1
한담공원,,4.5,10,0
휴애리 자연 생활 공원,서귀포 남원읍 신례동로 256,4.0,12,1
사라봉공원,,4.0,"5,7",0
돌하르방 공원,제주 조천읍 북촌리 976,4.0,"1,3,4,5,8,10",1
일출 랜드,서귀포 성산읍 삼달리 1010,3.5,11,1
서복 공원,서귀포,4.0,10,0
제주 허브 동산,서귀포 표선면 표선리 2608,4.0,10,0
걸매생태공원,,4.5,"4,10",0
렛츠런팜 제주,,4.5,"1,6,9",1
칠십리 시 공원,,4.0,3,1
삼무공원,,4.0,9,0
렛츠런파크제주,,5.0,7,0
