,location,rating,number_of_reviews,date,trip type
0,,4.0,29건,2017년 8월,친구와 여행함
1,,,,2017년 11월,나 혼자 여행함
2,,,,2017년 10월,커플로 여행함
3,,,,2017년 6월,가족과 여행함
4,,,,2016년 12월,가족과 여행함
5,,,,2016년 10월,나 혼자 여행함
6,,,,2016년 9월,나 혼자 여행함
7,,,,2016년 7월,커플로 여행함
8,,,,2016년 7월,나 혼자 여행함
9,,,,2016년 4월,친구와 여행함
10,,,,2015년 7월,커플로 여행함
11,,,,2015년 5월,친구와 여행함
12,,,,2015년 2월,친구와 여행함
13,,,,2015년 7월,나 혼자 여행함
14,,,,2015년 1월,출장 목적으로 여행함
15,,,,2015년 5월,나 혼자 여행함
16,,,,2015년 8월,나 혼자 여행함
17,,,,2015년 8월,나 혼자 여행함
18,,,,2018년 3월,친구와 여행함
19,,,,2017년 5월,가족과 여행함
20,,,,2017년 5월,친구와 여행함
21,,,,2016년 7월,커플로 여행함
22,,,,2016년 5월,
23,,,,2016년 4월,
