,location,rating,number_of_reviews,date,trip type
0,서귀포 성산읍 삼달리 1010,3.5,33건,2019년 8월,친구와 여행함
1,,,,2019년 4월,출장 목적으로 여행함
2,,,,2018년 8월,가족과 여행함
3,,,,2017년 11월,가족과 여행함
4,,,,2016년 10월,친구와 여행함
5,,,,2016년 10월,가족과 여행함
6,,,,2015년 10월,가족과 여행함
7,,,,2015년 2월,가족과 여행함
8,,,,2015년 11월,나 혼자 여행함
9,,,,2015년 1월,친구와 여행함
10,,,,2014년 12월,가족과 여행함
11,,,,2015년 3월,친구와 여행함
12,,,,2019년 8월,가족과 여행함
13,,,,2019년 2월,커플로 여행함
14,,,,2018년 11월,가족과 여행함
15,,,,2018년 10월,가족과 여행함
16,,,,2017년 11월,가족과 여행함
17,,,,2017년 7월,가족과 여행함
18,,,,2016년 11월,가족과 여행함
19,,,,2016년 9월,가족과 여행함
20,,,,2016년 6월,
21,,,,2016년 4월,
22,,,,2016년 4월,
