,location,rating,number_of_reviews,date,trip type
0,제주 명림로 430,4.5,59건,2019년 9월,나 혼자 여행함
1,,,,2019년 4월,가족과 여행함
2,,,,2019년 2월,커플로 여행함
3,,,,2019년 1월,가족과 여행함
4,,,,2018년 2월,나 혼자 여행함
5,,,,2018년 7월,나 혼자 여행함
6,,,,2017년 8월,가족과 여행함
7,,,,2017년 10월,나 혼자 여행함
8,,,,2017년 9월,가족과 여행함
9,,,,2017년 9월,친구와 여행함
10,,,,2017년 7월,가족과 여행함
11,,,,2017년 5월,커플로 여행함
12,,,,2017년 2월,가족과 여행함
13,,,,2017년 2월,가족과 여행함
14,,,,2017년 2월,나 혼자 여행함
15,,,,2016년 3월,나 혼자 여행함
16,,,,2015년 5월,가족과 여행함
17,,,,2015년 4월,친구와 여행함
18,,,,2015년 11월,친구와 여행함
19,,,,2016년 1월,가족과 여행함
20,,,,2015년 12월,가족과 여행함
21,,,,2015년 12월,나 혼자 여행함
22,,,,2015년 4월,나 혼자 여행함
23,,,,2015년 8월,나 혼자 여행함
24,,,,2015년 2월,나 혼자 여행함
25,,,,2015년 11월,나 혼자 여행함
26,,,,2015년 10월,커플로 여행함
27,,,,2015년 2월,커플로 여행함
28,,,,2015년 4월,커플로 여행함
29,,,,2019년 5월,커플로 여행함
30,,,,2019년 4월,출장 목적으로 여행함
31,,,,2018년 2월,
32,,,,2017년 6월,
33,,,,2017년 4월,
34,,,,2017년 2월,
35,,,,2016년 5월,
36,,,,2016년 8월,
37,,,,2016년 6월,
