,location,rating,number_of_reviews,date,trip type
0,,4.5,23건,2020년 6월,출장 목적으로 여행함
1,,,,2019년 4월,가족과 여행함
2,,,,2019년 12월,커플로 여행함
3,,,,2019년 4월,친구와 여행함
4,,,,2019년 2월,친구와 여행함
5,,,,2018년 5월,친구와 여행함
6,,,,2017년 11월,친구와 여행함
7,,,,2017년 3월,친구와 여행함
8,,,,2016년 10월,커플로 여행함
9,,,,2016년 12월,커플로 여행함
10,,,,2016년 11월,가족과 여행함
11,,,,2016년 6월,친구와 여행함
12,,,,2015년 5월,가족과 여행함
13,,,,2015년 10월,친구와 여행함
14,,,,2015년 7월,친구와 여행함
15,,,,2015년 12월,가족과 여행함
16,,,,2015년 1월,가족과 여행함
17,,,,2015년 1월,친구와 여행함
18,,,,2015년 1월,친구와 여행함
19,,,,2015년 10월,친구와 여행함
20,,,,2015년 11월,
21,,,,2015년 10월,
22,,,,2016년 10월,
