,location,rating,number_of_reviews,date,trip type
0,서귀포 대정읍 송악관광로 421-1,4.5,122건,2019년 4월,출장 목적으로 여행함
1,,,,2020년 2월,가족과 여행함
2,,,,2019년 9월,가족과 여행함
3,,,,2019년 5월,출장 목적으로 여행함
4,,,,2019년 4월,커플로 여행함
5,,,,2019년 3월,가족과 여행함
6,,,,2019년 3월,커플로 여행함
7,,,,2018년 11월,커플로 여행함
8,,,,2018년 9월,가족과 여행함
9,,,,2018년 10월,친구와 여행함
10,,,,2018년 8월,친구와 여행함
11,,,,2018년 7월,출장 목적으로 여행함
12,,,,2017년 11월,친구와 여행함
13,,,,2018년 5월,커플로 여행함
14,,,,2017년 12월,나 혼자 여행함
15,,,,2018년 1월,나 혼자 여행함
16,,,,2017년 12월,친구와 여행함
17,,,,2017년 12월,가족과 여행함
18,,,,2017년 11월,나 혼자 여행함
19,,,,2017년 7월,나 혼자 여행함
20,,,,2017년 11월,나 혼자 여행함
21,,,,2017년 11월,가족과 여행함
22,,,,2017년 4월,커플로 여행함
23,,,,2017년 5월,커플로 여행함
24,,,,2016년 11월,가족과 여행함
25,,,,2017년 8월,친구와 여행함
26,,,,2017년 7월,가족과 여행함
27,,,,2017년 5월,나 혼자 여행함
28,,,,2016년 6월,커플로 여행함
29,,,,2017년 1월,가족과 여행함
30,,,,2016년 11월,커플로 여행함
31,,,,2016년 11월,가족과 여행함
32,,,,2016년 10월,커플로 여행함
33,,,,2016년 2월,가족과 여행함
34,,,,2016년 1월,가족과 여행함
35,,,,2015년 11월,가족과 여행함
36,,,,2015년 11월,가족과 여행함
37,,,,2016년 5월,나 혼자 여행함
38,,,,2016년 6월,가족과 여행함
39,,,,2015년 8월,친구와 여행함
40,,,,2016년 3월,가족과 여행함
41,,,,2016년 2월,가족과 여행함
42,,,,2015년 8월,가족과 여행함
43,,,,2016년 3월,커플로 여행함
44,,,,2016년 3월,가족과 여행함
45,,,,2015년 4월,나 혼자 여행함
46,,,,2015년 6월,가족과 여행함
47,,,,2015년 11월,가족과 여행함
48,,,,2015년 12월,가족과 여행함
49,,,,2015년 11월,커플로 여행함
50,,,,2015년 11월,가족과 여행함
51,,,,2015년 11월,가족과 여행함
52,,,,2014년 12월,가족과 여행함
53,,,,2015년 5월,커플로 여행함
54,,,,2015년 9월,친구와 여행함
55,,,,2015년 10월,커플로 여행함
56,,,,2015년 2월,가족과 여행함
57,,,,2015년 8월,가족과 여행함
58,,,,2015년 6월,가족과 여행함
59,,,,2015년 9월,나 혼자 여행함
60,,,,2015년 1월,커플로 여행함
61,,,,2015년 3월,커플로 여행함
62,,,,2015년 9월,커플로 여행함
63,,,,2015년 7월,커플로 여행함
64,,,,2015년 8월,친구와 여행함
65,,,,2014년 12월,커플로 여행함
66,,,,2015년 2월,커플로 여행함
67,,,,2019년 10월,친구와 여행함
68,,,,2019년 6월,커플로 여행함
69,,,,2018년 10월,
70,,,,2017년 3월,
71,,,,2016년 10월,
72,,,,2016년 3월,
73,,,,2015년 5월,
74,,,,2015년 10월,
75,,,,2015년 6월,
76,,,,2015년 9월,
77,,,,2015년 7월,
78,,,,2014년 10월,
79,,,,2014년 11월,
