,location,rating,number_of_reviews,date,trip type
0,서귀포 안덕면 사계리 181-1,4.5,229건,2019년 4월,친구와 여행함
1,,,,2020년 1월,나 혼자 여행함
2,,,,2019년 7월,가족과 여행함
3,,,,2019년 11월,커플로 여행함
4,,,,2019년 11월,가족과 여행함
5,,,,2019년 6월,커플로 여행함
6,,,,2019년 10월,가족과 여행함
7,,,,2019년 8월,나 혼자 여행함
8,,,,2018년 8월,나 혼자 여행함
9,,,,2018년 8월,출장 목적으로 여행함
10,,,,2019년 4월,출장 목적으로 여행함
11,,,,2019년 4월,가족과 여행함
12,,,,2019년 4월,가족과 여행함
13,,,,2019년 3월,커플로 여행함
14,,,,2019년 3월,가족과 여행함
15,,,,2019년 3월,커플로 여행함
16,,,,2019년 1월,커플로 여행함
17,,,,2018년 12월,커플로 여행함
18,,,,2018년 12월,가족과 여행함
19,,,,2018년 11월,커플로 여행함
20,,,,2017년 12월,커플로 여행함
21,,,,2018년 9월,친구와 여행함
22,,,,2018년 8월,출장 목적으로 여행함
23,,,,2018년 8월,가족과 여행함
24,,,,2017년 6월,나 혼자 여행함
25,,,,2017년 11월,나 혼자 여행함
26,,,,2018년 3월,나 혼자 여행함
27,,,,2017년 12월,커플로 여행함
28,,,,2018년 3월,커플로 여행함
29,,,,2017년 7월,나 혼자 여행함
30,,,,2017년 11월,가족과 여행함
31,,,,2017년 5월,나 혼자 여행함
32,,,,2017년 11월,가족과 여행함
33,,,,2017년 6월,가족과 여행함
34,,,,2017년 10월,나 혼자 여행함
35,,,,2017년 10월,가족과 여행함
36,,,,2016년 11월,친구와 여행함
37,,,,2017년 9월,가족과 여행함
38,,,,2017년 4월,가족과 여행함
39,,,,2017년 8월,가족과 여행함
40,,,,2017년 8월,가족과 여행함
41,,,,2016년 9월,커플로 여행함
42,,,,2017년 7월,커플로 여행함
43,,,,2017년 6월,가족과 여행함
44,,,,2017년 5월,친구와 여행함
45,,,,2017년 3월,가족과 여행함
46,,,,2016년 6월,가족과 여행함
47,,,,2016년 5월,친구와 여행함
48,,,,2016년 12월,친구와 여행함
49,,,,2016년 12월,가족과 여행함
50,,,,2016년 8월,가족과 여행함
51,,,,2016년 9월,커플로 여행함
52,,,,2016년 9월,가족과 여행함
53,,,,2015년 10월,나 혼자 여행함
54,,,,2016년 9월,가족과 여행함
55,,,,2016년 5월,커플로 여행함
56,,,,2015년 8월,가족과 여행함
57,,,,2016년 7월,가족과 여행함
58,,,,2016년 7월,가족과 여행함
59,,,,2016년 7월,가족과 여행함
60,,,,2016년 6월,커플로 여행함
61,,,,2016년 6월,가족과 여행함
62,,,,2016년 4월,친구와 여행함
63,,,,2016년 2월,가족과 여행함
64,,,,2016년 4월,커플로 여행함
65,,,,2016년 3월,친구와 여행함
66,,,,2016년 2월,커플로 여행함
67,,,,2016년 4월,커플로 여행함
68,,,,2016년 4월,가족과 여행함
69,,,,2016년 3월,가족과 여행함
70,,,,2016년 4월,가족과 여행함
71,,,,2015년 7월,가족과 여행함
72,,,,2015년 9월,가족과 여행함
73,,,,2015년 4월,커플로 여행함
74,,,,2016년 3월,커플로 여행함
75,,,,2015년 4월,커플로 여행함
76,,,,2015년 12월,가족과 여행함
77,,,,2015년 7월,가족과 여행함
78,,,,2015년 5월,가족과 여행함
79,,,,2015년 3월,나 혼자 여행함
80,,,,2015년 8월,가족과 여행함
81,,,,2015년 9월,가족과 여행함
82,,,,2016년 1월,가족과 여행함
83,,,,2015년 9월,가족과 여행함
84,,,,2016년 1월,친구와 여행함
85,,,,2016년 1월,커플로 여행함
86,,,,2015년 11월,친구와 여행함
87,,,,2015년 3월,가족과 여행함
88,,,,2015년 8월,커플로 여행함
89,,,,2015년 11월,가족과 여행함
90,,,,2014년 11월,가족과 여행함
91,,,,2014년 12월,커플로 여행함
92,,,,2014년 12월,커플로 여행함
93,,,,2014년 12월,친구와 여행함
94,,,,2015년 9월,커플로 여행함
95,,,,2015년 7월,가족과 여행함
96,,,,2015년 5월,가족과 여행함
97,,,,2015년 7월,가족과 여행함
98,,,,2015년 7월,친구와 여행함
99,,,,2015년 6월,가족과 여행함
100,,,,2015년 8월,나 혼자 여행함
101,,,,2015년 5월,가족과 여행함
102,,,,2015년 7월,커플로 여행함
103,,,,2014년 8월,나 혼자 여행함
104,,,,2015년 3월,가족과 여행함
105,,,,2014년 9월,커플로 여행함
106,,,,2014년 7월,가족과 여행함
107,,,,2014년 5월,친구와 여행함
108,,,,2013년 8월,친구와 여행함
109,,,,2013년 4월,커플로 여행함
110,,,,2012년 4월,커플로 여행함
111,,,,2018년 11월,커플로 여행함
112,,,,2017년 5월,가족과 여행함
113,,,,2017년 3월,
114,,,,2016년 12월,
115,,,,2016년 11월,
116,,,,2016년 10월,
117,,,,2016년 5월,
118,,,,2016년 3월,
119,,,,2014년 10월,
120,,,,2015년 6월,
121,,,,2015년 6월,
122,,,,2014년 10월,
