,location,rating,number_of_reviews,date,trip type
0,제주 우도면 우도봉길 105,4.5,75건,2019년 10월,가족과 여행함
1,,,,2019년 8월,가족과 여행함
2,,,,2019년 6월,커플로 여행함
3,,,,2019년 4월,친구와 여행함
4,,,,2019년 2월,나 혼자 여행함
5,,,,2018년 3월,나 혼자 여행함
6,,,,2018년 2월,친구와 여행함
7,,,,2017년 11월,친구와 여행함
8,,,,2017년 12월,커플로 여행함
9,,,,2017년 9월,나 혼자 여행함
10,,,,2017년 8월,친구와 여행함
11,,,,2017년 6월,가족과 여행함
12,,,,2017년 2월,가족과 여행함
13,,,,2017년 7월,친구와 여행함
14,,,,2017년 3월,나 혼자 여행함
15,,,,2017년 3월,친구와 여행함
16,,,,2017년 3월,가족과 여행함
17,,,,2016년 11월,가족과 여행함
18,,,,2016년 5월,친구와 여행함
19,,,,2016년 9월,가족과 여행함
20,,,,2016년 6월,나 혼자 여행함
21,,,,2016년 6월,커플로 여행함
22,,,,2016년 4월,친구와 여행함
23,,,,2016년 3월,커플로 여행함
24,,,,2015년 9월,친구와 여행함
25,,,,2015년 8월,가족과 여행함
26,,,,2015년 11월,가족과 여행함
27,,,,2016년 1월,커플로 여행함
28,,,,2015년 12월,나 혼자 여행함
29,,,,2015년 12월,가족과 여행함
30,,,,2015년 11월,가족과 여행함
31,,,,2015년 8월,친구와 여행함
32,,,,2015년 11월,가족과 여행함
33,,,,2015년 5월,친구와 여행함
34,,,,2015년 2월,커플로 여행함
35,,,,2015년 8월,커플로 여행함
36,,,,2015년 10월,가족과 여행함
37,,,,2015년 9월,가족과 여행함
38,,,,2015년 10월,친구와 여행함
39,,,,2015년 3월,커플로 여행함
40,,,,2015년 5월,나 혼자 여행함
41,,,,2015년 9월,가족과 여행함
42,,,,2015년 9월,나 혼자 여행함
43,,,,2019년 3월,
44,,,,2019년 3월,
45,,,,2018년 11월,
46,,,,2018년 10월,
47,,,,2017년 12월,
48,,,,2018년 5월,
