,location,rating,number_of_reviews,date,trip type
0,서귀포 남원읍 신례동로 256,4.0,41건,2019년 12월,가족과 여행함
1,,,,2019년 12월,가족과 여행함
2,,,,2019년 6월,가족과 여행함
3,,,,2018년 11월,가족과 여행함
4,,,,2018년 3월,가족과 여행함
5,,,,2018년 3월,가족과 여행함
6,,,,2018년 2월,가족과 여행함
7,,,,2017년 12월,가족과 여행함
8,,,,2017년 12월,가족과 여행함
9,,,,2017년 10월,나 혼자 여행함
10,,,,2017년 2월,가족과 여행함
11,,,,2017년 5월,가족과 여행함
12,,,,2017년 6월,가족과 여행함
13,,,,2017년 5월,가족과 여행함
14,,,,2016년 12월,가족과 여행함
15,,,,2016년 8월,가족과 여행함
16,,,,2015년 12월,가족과 여행함
17,,,,2016년 5월,친구와 여행함
18,,,,2015년 10월,가족과 여행함
19,,,,2015년 9월,가족과 여행함
20,,,,2016년 1월,가족과 여행함
21,,,,2015년 8월,가족과 여행함
22,,,,2015년 10월,가족과 여행함
23,,,,2015년 3월,가족과 여행함
24,,,,2014년 11월,가족과 여행함
25,,,,2014년 12월,가족과 여행함
26,,,,2015년 9월,가족과 여행함
27,,,,2015년 1월,가족과 여행함
28,,,,2015년 5월,친구와 여행함
29,,,,2015년 9월,커플로 여행함
30,,,,2015년 3월,
31,,,,2015년 6월,
32,,,,2019년 2월,
33,,,,2019년 1월,
