,location,rating,number_of_reviews,date,trip type
0,제주 구좌읍 월정리 33-3,4.5,158건,2019년 4월,커플로 여행함
1,,,,2020년 1월,커플로 여행함
2,,,,2019년 10월,커플로 여행함
3,,,,2019년 9월,가족과 여행함
4,,,,2019년 10월,커플로 여행함
5,,,,2019년 5월,친구와 여행함
6,,,,2019년 4월,친구와 여행함
7,,,,2018년 5월,나 혼자 여행함
8,,,,2019년 3월,커플로 여행함
9,,,,2018년 6월,친구와 여행함
10,,,,2018년 11월,친구와 여행함
11,,,,2018년 10월,나 혼자 여행함
12,,,,2018년 10월,나 혼자 여행함
13,,,,2018년 8월,커플로 여행함
14,,,,2018년 8월,나 혼자 여행함
15,,,,2018년 5월,친구와 여행함
16,,,,2018년 4월,나 혼자 여행함
17,,,,2017년 5월,가족과 여행함
18,,,,2017년 10월,가족과 여행함
19,,,,2017년 12월,커플로 여행함
20,,,,2017년 5월,나 혼자 여행함
21,,,,2017년 12월,친구와 여행함
22,,,,2017년 6월,가족과 여행함
23,,,,2017년 9월,커플로 여행함
24,,,,2017년 11월,커플로 여행함
25,,,,2017년 11월,나 혼자 여행함
26,,,,2017년 9월,친구와 여행함
27,,,,2017년 7월,커플로 여행함
28,,,,2017년 11월,친구와 여행함
29,,,,2017년 8월,가족과 여행함
30,,,,2017년 10월,나 혼자 여행함
31,,,,2017년 11월,가족과 여행함
32,,,,2017년 11월,나 혼자 여행함
33,,,,2017년 2월,친구와 여행함
34,,,,2017년 8월,친구와 여행함
35,,,,2017년 6월,나 혼자 여행함
36,,,,2017년 9월,친구와 여행함
37,,,,2017년 11월,친구와 여행함
38,,,,2016년 11월,나 혼자 여행함
39,,,,2017년 10월,가족과 여행함
40,,,,2017년 9월,친구와 여행함
41,,,,2017년 3월,커플로 여행함
42,,,,2017년 9월,가족과 여행함
43,,,,2017년 5월,커플로 여행함
44,,,,2017년 8월,커플로 여행함
45,,,,2017년 8월,커플로 여행함
46,,,,2017년 7월,친구와 여행함
47,,,,2017년 8월,커플로 여행함
48,,,,2017년 6월,가족과 여행함
49,,,,2017년 7월,커플로 여행함
50,,,,2017년 7월,가족과 여행함
51,,,,2017년 7월,가족과 여행함
52,,,,2017년 7월,커플로 여행함
53,,,,2017년 6월,커플로 여행함
54,,,,2017년 6월,친구와 여행함
55,,,,2016년 8월,친구와 여행함
56,,,,2017년 6월,커플로 여행함
57,,,,2016년 11월,친구와 여행함
58,,,,2017년 5월,가족과 여행함
59,,,,2017년 5월,나 혼자 여행함
60,,,,2017년 5월,친구와 여행함
61,,,,2016년 12월,친구와 여행함
62,,,,2017년 4월,가족과 여행함
63,,,,2016년 5월,친구와 여행함
64,,,,2017년 3월,친구와 여행함
65,,,,2017년 4월,가족과 여행함
66,,,,2017년 3월,가족과 여행함
67,,,,2017년 4월,가족과 여행함
68,,,,2017년 3월,커플로 여행함
69,,,,2016년 12월,가족과 여행함
70,,,,2016년 11월,커플로 여행함
71,,,,2016년 10월,가족과 여행함
72,,,,2016년 11월,친구와 여행함
73,,,,2015년 12월,나 혼자 여행함
74,,,,2016년 10월,커플로 여행함
75,,,,2016년 10월,커플로 여행함
76,,,,2016년 5월,커플로 여행함
77,,,,2016년 7월,가족과 여행함
78,,,,2016년 7월,커플로 여행함
79,,,,2016년 5월,가족과 여행함
80,,,,2016년 6월,커플로 여행함
81,,,,2015년 11월,커플로 여행함
82,,,,2016년 7월,커플로 여행함
83,,,,2016년 8월,친구와 여행함
84,,,,2016년 8월,커플로 여행함
85,,,,2016년 8월,친구와 여행함
86,,,,2016년 8월,친구와 여행함
87,,,,2016년 4월,친구와 여행함
88,,,,2016년 5월,친구와 여행함
89,,,,2016년 7월,가족과 여행함
90,,,,2016년 6월,친구와 여행함
91,,,,2016년 1월,친구와 여행함
92,,,,2016년 6월,친구와 여행함
93,,,,2016년 6월,
94,,,,2016년 6월,
95,,,,2015년 9월,
96,,,,2015년 7월,
97,,,,2016년 4월,
98,,,,2016년 3월,
99,,,,2015년 7월,
100,,,,2019년 9월,
101,,,,2019년 11월,
102,,,,2019년 9월,
103,,,,2019년 8월,
104,,,,2017년 7월,
105,,,,2017년 5월,
106,,,,2016년 11월,
107,,,,2016년 6월,
108,,,,2016년 8월,
109,,,,2016년 8월,
110,,,,2016년 7월,
111,,,,2016년 7월,
112,,,,2016년 5월,
113,,,,2015년 6월,
