,location,rating,number_of_reviews,date,trip type
0,서귀포 Pyoseon-myeon,4.0,41건,2020년 2월,가족과 여행함
1,,,,2019년 10월,친구와 여행함
2,,,,2019년 7월,가족과 여행함
3,,,,2018년 9월,친구와 여행함
4,,,,2019년 4월,커플로 여행함
5,,,,2018년 6월,친구와 여행함
6,,,,2018년 1월,가족과 여행함
7,,,,2017년 11월,가족과 여행함
8,,,,2017년 7월,가족과 여행함
9,,,,2017년 9월,나 혼자 여행함
10,,,,2017년 8월,가족과 여행함
11,,,,2017년 5월,커플로 여행함
12,,,,2017년 1월,커플로 여행함
13,,,,2016년 5월,가족과 여행함
14,,,,2016년 12월,가족과 여행함
15,,,,2016년 8월,가족과 여행함
16,,,,2016년 9월,가족과 여행함
17,,,,2016년 8월,가족과 여행함
18,,,,2016년 8월,나 혼자 여행함
19,,,,2016년 2월,가족과 여행함
20,,,,2016년 7월,커플로 여행함
21,,,,2016년 5월,커플로 여행함
22,,,,2016년 3월,친구와 여행함
23,,,,2015년 3월,가족과 여행함
24,,,,2015년 7월,가족과 여행함
25,,,,2016년 1월,나 혼자 여행함
26,,,,2015년 7월,나 혼자 여행함
27,,,,2016년 1월,가족과 여행함
28,,,,2015년 12월,나 혼자 여행함
29,,,,2015년 3월,커플로 여행함
30,,,,2019년 6월,
31,,,,2016년 8월,
32,,,,2017년 5월,
33,,,,2016년 11월,
