,location,rating,number_of_reviews,date,trip type
0,제주 조천읍 함덕리,4.5,507건,2020년 3월,나 혼자 여행함
1,,,,2019년 4월,친구와 여행함
2,,,,2020년 1월,커플로 여행함
3,,,,2019년 12월,나 혼자 여행함
4,,,,2019년 2월,커플로 여행함
5,,,,2019년 11월,가족과 여행함
6,,,,2019년 6월,친구와 여행함
7,,,,2019년 8월,커플로 여행함
8,,,,2019년 10월,친구와 여행함
9,,,,2019년 10월,가족과 여행함
10,,,,2019년 10월,나 혼자 여행함
11,,,,2019년 8월,커플로 여행함
12,,,,2019년 8월,가족과 여행함
13,,,,2019년 7월,가족과 여행함
14,,,,2019년 6월,나 혼자 여행함
15,,,,2019년 5월,친구와 여행함
16,,,,2019년 5월,나 혼자 여행함
17,,,,2019년 4월,가족과 여행함
18,,,,2019년 4월,커플로 여행함
19,,,,2018년 6월,친구와 여행함
20,,,,2019년 1월,가족과 여행함
21,,,,2018년 8월,가족과 여행함
22,,,,2019년 1월,나 혼자 여행함
23,,,,2018년 8월,나 혼자 여행함
24,,,,2017년 12월,가족과 여행함
25,,,,2018년 10월,나 혼자 여행함
26,,,,2018년 11월,커플로 여행함
27,,,,2018년 10월,친구와 여행함
28,,,,2018년 10월,커플로 여행함
29,,,,2018년 9월,커플로 여행함
30,,,,2018년 9월,가족과 여행함
31,,,,2018년 8월,커플로 여행함
32,,,,2018년 5월,커플로 여행함
33,,,,2018년 7월,가족과 여행함
34,,,,2018년 9월,가족과 여행함
35,,,,2018년 9월,가족과 여행함
36,,,,2018년 8월,출장 목적으로 여행함
37,,,,2018년 9월,가족과 여행함
38,,,,2018년 8월,가족과 여행함
39,,,,2018년 8월,가족과 여행함
40,,,,2018년 8월,가족과 여행함
41,,,,2018년 7월,가족과 여행함
42,,,,2018년 5월,가족과 여행함
43,,,,2018년 7월,나 혼자 여행함
44,,,,2018년 7월,커플로 여행함
45,,,,2018년 3월,커플로 여행함
46,,,,2018년 7월,나 혼자 여행함
47,,,,2018년 6월,나 혼자 여행함
48,,,,2018년 6월,나 혼자 여행함
49,,,,2018년 5월,커플로 여행함
50,,,,2018년 4월,커플로 여행함
51,,,,2018년 4월,나 혼자 여행함
52,,,,2018년 4월,친구와 여행함
53,,,,2017년 10월,나 혼자 여행함
54,,,,2018년 3월,친구와 여행함
55,,,,2018년 3월,가족과 여행함
56,,,,2017년 11월,가족과 여행함
57,,,,2018년 2월,친구와 여행함
58,,,,2017년 9월,친구와 여행함
59,,,,2017년 5월,친구와 여행함
60,,,,2017년 5월,가족과 여행함
61,,,,2017년 11월,가족과 여행함
62,,,,2017년 11월,가족과 여행함
63,,,,2017년 9월,가족과 여행함
64,,,,2017년 11월,친구와 여행함
65,,,,2017년 8월,나 혼자 여행함
66,,,,2017년 9월,커플로 여행함
67,,,,2017년 7월,나 혼자 여행함
68,,,,2017년 11월,나 혼자 여행함
69,,,,2017년 9월,커플로 여행함
70,,,,2017년 6월,나 혼자 여행함
71,,,,2017년 8월,가족과 여행함
72,,,,2017년 10월,가족과 여행함
73,,,,2017년 7월,커플로 여행함
74,,,,2017년 11월,나 혼자 여행함
75,,,,2017년 9월,가족과 여행함
76,,,,2016년 12월,가족과 여행함
77,,,,2017년 11월,친구와 여행함
78,,,,2017년 11월,커플로 여행함
79,,,,2017년 8월,친구와 여행함
80,,,,2017년 11월,가족과 여행함
81,,,,2017년 11월,커플로 여행함
82,,,,2017년 9월,친구와 여행함
83,,,,2017년 10월,가족과 여행함
84,,,,2017년 10월,가족과 여행함
85,,,,2017년 5월,가족과 여행함
86,,,,2017년 9월,가족과 여행함
87,,,,2017년 9월,커플로 여행함
88,,,,2017년 9월,가족과 여행함
89,,,,2017년 9월,친구와 여행함
90,,,,2017년 5월,나 혼자 여행함
91,,,,2017년 8월,나 혼자 여행함
92,,,,2017년 8월,나 혼자 여행함
93,,,,2017년 8월,가족과 여행함
94,,,,2017년 7월,가족과 여행함
95,,,,2017년 7월,커플로 여행함
96,,,,2017년 8월,가족과 여행함
97,,,,2017년 6월,친구와 여행함
98,,,,2017년 7월,친구와 여행함
99,,,,2017년 7월,가족과 여행함
100,,,,2017년 6월,친구와 여행함
101,,,,2017년 5월,가족과 여행함
102,,,,2017년 6월,커플로 여행함
103,,,,2017년 6월,친구와 여행함
104,,,,2017년 6월,친구와 여행함
105,,,,2017년 6월,친구와 여행함
106,,,,2017년 5월,가족과 여행함
107,,,,2017년 5월,커플로 여행함
108,,,,2016년 12월,가족과 여행함
109,,,,2017년 5월,커플로 여행함
110,,,,2017년 5월,나 혼자 여행함
111,,,,2016년 5월,가족과 여행함
112,,,,2017년 4월,친구와 여행함
113,,,,2017년 4월,친구와 여행함
114,,,,2017년 3월,나 혼자 여행함
115,,,,2017년 4월,나 혼자 여행함
116,,,,2017년 4월,친구와 여행함
117,,,,2017년 3월,커플로 여행함
118,,,,2016년 12월,가족과 여행함
119,,,,2016년 4월,나 혼자 여행함
120,,,,2016년 12월,가족과 여행함
121,,,,2017년 2월,커플로 여행함
122,,,,2016년 12월,커플로 여행함
123,,,,2017년 1월,가족과 여행함
124,,,,2016년 12월,친구와 여행함
125,,,,2016년 12월,가족과 여행함
126,,,,2016년 8월,가족과 여행함
127,,,,2016년 12월,나 혼자 여행함
128,,,,2016년 7월,친구와 여행함
129,,,,2016년 10월,가족과 여행함
130,,,,2016년 1월,가족과 여행함
131,,,,2016년 10월,친구와 여행함
132,,,,2016년 11월,가족과 여행함
133,,,,2016년 9월,가족과 여행함
134,,,,2016년 11월,커플로 여행함
135,,,,2016년 10월,가족과 여행함
136,,,,2016년 10월,커플로 여행함
137,,,,2016년 10월,커플로 여행함
138,,,,2016년 9월,친구와 여행함
139,,,,2016년 10월,친구와 여행함
140,,,,2016년 10월,가족과 여행함
141,,,,2016년 9월,친구와 여행함
142,,,,2016년 9월,가족과 여행함
143,,,,2016년 9월,친구와 여행함
144,,,,2016년 9월,나 혼자 여행함
145,,,,2016년 1월,가족과 여행함
146,,,,2016년 9월,나 혼자 여행함
147,,,,2016년 9월,커플로 여행함
148,,,,2016년 5월,가족과 여행함
149,,,,2016년 4월,가족과 여행함
