,location,rating,number_of_reviews,date,trip type
0,제주 애월읍 봉성리 산59-8,4.5,48건,2019년 11월,친구와 여행함
1,,,,2019년 10월,친구와 여행함
2,,,,2019년 11월,커플로 여행함
3,,,,2019년 11월,가족과 여행함
4,,,,2019년 10월,가족과 여행함
5,,,,2019년 10월,가족과 여행함
6,,,,2019년 9월,커플로 여행함
7,,,,2019년 5월,가족과 여행함
8,,,,2019년 2월,나 혼자 여행함
9,,,,2018년 11월,나 혼자 여행함
10,,,,2018년 1월,커플로 여행함
11,,,,2018년 10월,출장 목적으로 여행함
12,,,,2018년 11월,가족과 여행함
13,,,,2018년 10월,가족과 여행함
14,,,,2017년 9월,친구와 여행함
15,,,,2017년 11월,나 혼자 여행함
16,,,,2017년 10월,가족과 여행함
17,,,,2018년 3월,친구와 여행함
18,,,,2018년 2월,친구와 여행함
19,,,,2017년 11월,친구와 여행함
20,,,,2017년 11월,친구와 여행함
21,,,,2017년 10월,나 혼자 여행함
22,,,,2017년 11월,가족과 여행함
23,,,,2017년 11월,커플로 여행함
24,,,,2017년 9월,커플로 여행함
25,,,,2017년 11월,가족과 여행함
26,,,,2017년 11월,친구와 여행함
27,,,,2017년 11월,나 혼자 여행함
28,,,,2017년 11월,나 혼자 여행함
29,,,,2017년 11월,가족과 여행함
30,,,,2017년 10월,친구와 여행함
31,,,,2017년 10월,친구와 여행함
32,,,,2017년 7월,친구와 여행함
33,,,,2017년 5월,가족과 여행함
34,,,,2017년 2월,커플로 여행함
35,,,,2016년 11월,
36,,,,2016년 11월,
37,,,,2015년 10월,
38,,,,2015년 10월,
39,,,,2016년 6월,
40,,,,2019년 10월,
