,location,rating,number_of_reviews,date,trip type
0,제주 구좌읍 비자숲길,4.5,288건,2019년 3월,커플로 여행함
1,,,,2019년 8월,가족과 여행함
2,,,,2019년 10월,친구와 여행함
3,,,,2019년 11월,가족과 여행함
4,,,,2019년 10월,가족과 여행함
5,,,,2019년 8월,가족과 여행함
6,,,,2019년 5월,나 혼자 여행함
7,,,,2019년 5월,가족과 여행함
8,,,,2019년 4월,친구와 여행함
9,,,,2019년 4월,나 혼자 여행함
10,,,,2019년 4월,나 혼자 여행함
11,,,,2019년 3월,커플로 여행함
12,,,,2019년 3월,가족과 여행함
13,,,,2018년 9월,커플로 여행함
14,,,,2019년 2월,나 혼자 여행함
15,,,,2019년 2월,가족과 여행함
16,,,,2019년 2월,커플로 여행함
17,,,,2018년 12월,친구와 여행함
18,,,,2018년 2월,가족과 여행함
19,,,,2018년 4월,친구와 여행함
20,,,,2018년 11월,가족과 여행함
21,,,,2018년 11월,가족과 여행함
22,,,,2018년 10월,가족과 여행함
23,,,,2018년 10월,가족과 여행함
24,,,,2018년 10월,커플로 여행함
25,,,,2018년 8월,친구와 여행함
26,,,,2018년 10월,커플로 여행함
27,,,,2018년 10월,나 혼자 여행함
28,,,,2018년 5월,친구와 여행함
29,,,,2018년 9월,친구와 여행함
30,,,,2018년 5월,커플로 여행함
31,,,,2018년 9월,커플로 여행함
32,,,,2018년 3월,나 혼자 여행함
33,,,,2017년 9월,커플로 여행함
34,,,,2018년 8월,커플로 여행함
35,,,,2018년 7월,친구와 여행함
36,,,,2018년 6월,커플로 여행함
37,,,,2018년 3월,나 혼자 여행함
38,,,,2018년 4월,커플로 여행함
39,,,,2018년 3월,나 혼자 여행함
40,,,,2018년 4월,나 혼자 여행함
41,,,,2018년 4월,친구와 여행함
42,,,,2018년 4월,친구와 여행함
43,,,,2017년 5월,나 혼자 여행함
44,,,,2018년 2월,친구와 여행함
45,,,,2018년 3월,나 혼자 여행함
46,,,,2018년 2월,가족과 여행함
47,,,,2018년 1월,친구와 여행함
48,,,,2017년 12월,가족과 여행함
49,,,,2017년 7월,가족과 여행함
50,,,,2017년 12월,가족과 여행함
51,,,,2017년 7월,친구와 여행함
52,,,,2017년 4월,가족과 여행함
53,,,,2017년 11월,친구와 여행함
54,,,,2017년 5월,커플로 여행함
