,location,rating,number_of_reviews,date,trip type
0,서귀포 표선면 녹산로 381-15,4.5,34건,2019년 10월,가족과 여행함
1,,,,2018년 5월,커플로 여행함
2,,,,2018년 3월,커플로 여행함
3,,,,2018년 3월,가족과 여행함
4,,,,2018년 1월,가족과 여행함
5,,,,2017년 9월,가족과 여행함
6,,,,2016년 11월,가족과 여행함
7,,,,2017년 4월,커플로 여행함
8,,,,2017년 4월,친구와 여행함
9,,,,2016년 1월,가족과 여행함
10,,,,2015년 9월,가족과 여행함
11,,,,2015년 9월,커플로 여행함
12,,,,2014년 12월,가족과 여행함
13,,,,2015년 9월,가족과 여행함
14,,,,2015년 2월,커플로 여행함
15,,,,2015년 8월,친구와 여행함
16,,,,2015년 3월,
17,,,,2015년 6월,
18,,,,2015년 4월,
19,,,,2014년 7월,
20,,,,2017년 8월,
21,,,,2017년 4월,
22,,,,2015년 4월,
