Area,Month,Avg_temp,Max_temp,Min_temp,Rain,Wind,Cloud
jeju,Jan-19,6.4,8.9,4.3,17.9,3.3,6.5
jeju,Feb-19,7.4,10.2,4.8,15.9,3,7
jeju,Mar-19,10.8,14.4,7.6,22.1,3.5,5.5
jeju,Apr-19,14.7,18.4,11.9,18.7,3,5.4
jeju,May-19,20,23.8,16.6,19.6,3,5.4
jeju,Jun-19,21.5,25.1,19,85.1,2.6,6.2
jeju,Jul-19,25.2,27.9,23.2,187.7,2.6,6.9
jeju,Aug-19,27.7,30.6,25.5,87.2,2.8,6.2
jeju,Sep-19,24,26.6,21.9,156,2.9,7
jeju,Oct-19,19.7,22.6,17,136.2,2.9,5.3
jeju,Nov-19,14.6,18.3,11.5,8.2,3,5.3
jeju,Dec-19,9.7,12.5,6.9,18.9,3.3,7.1
sgp,Jan-19,7.8,11.3,4.6,14.9,1.4,5.3
sgp,Feb-19,9.3,12.4,6.3,15.1,1.6,6.5
sgp,Mar-19,11.6,15.6,8.2,18.4,1.9,5.2
sgp,Apr-19,15,18.7,11.9,39.4,1.7,5.5
sgp,May-19,19.9,23.6,16.6,197.3,1.6,5.5
sgp,Jun-19,21.7,24.5,19.2,116.8,1.6,6.2
sgp,Jul-19,24.2,26.6,22.5,152.9,1.9,8
sgp,Aug-19,27.1,29.7,24.8,93.7,1.7,6.1
sgp,Sep-19,24.1,26.9,22,78.9,2.3,6.6
sgp,Oct-19,20,23.6,17,102.8,2,4.3
sgp,Nov-19,15.6,19.2,12.2,9.9,1.8,4.6
sgp,Dec-19,10.7,14.3,7.6,34.3,1.5,6.4
